zona,atraccion,tiempo_espera,abierta,ultima_actualizacion,fecha,hora,dia_semana,mes,fin_de_semana,temperatura,humedad,sensacion_termica,codigo_clima,temporada
Cartoon Village,Cartoon Carousel,5,True,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Convoy de Camiones,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Correcaminos Bip Bip,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Emergencias Pato Lucas,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Escuela de Conducción Yabba-Dabba-Doo,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,He Visto un Lindo Gatito,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,La Aventura de Scooby-Doo,30,True,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,La Captura de Gossamer,5,True,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Looney Tunes Correo Aéreo,5,True,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Marvin el Marciano Cohetes Espaciales,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Pato Lucas Coches Locos,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Piolín y Silvestre Paseo en Autobús,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Rápidos ACME,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Scooby-Doo's Tea Party Mistery,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Tom & Jerry Picnic en el Parque,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Wile E. Coyote Zona de Explosión,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
DC Super Heroes World,Batman Gotham City Escape,30,True,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
DC Super Heroes World,La Venganza del Enigma,5,True,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
DC Super Heroes World,Lex Luthor Invertatron,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
